news_media,Tweet,Tweet_Date,Sentiment_Compound,Sentiment_Positive,Sentiment_Neutral,Sentiment_Negative,News_Media
,"This is what #FreezingRain looks like

Follow live coverage here: https://t.co/FG2hDVaw5g https://t.co/5K90s2WfMM",2018-03-02 09:55:59,0.3612,0.185,0.815,0.0,@BBCNews
,"Follow the latest updates as blizzards &amp; #freezingrain hit the UK

https://t.co/ucTttRKMTZ https://t.co/QubJ7tMmNF",2018-03-02 09:51:50,0.0,0.0,1.0,0.0,@BBCNews
,Royal wedding involvement for public https://t.co/cNaRVMkCUK,2018-03-02 09:24:37,0.0,0.0,1.0,0.0,@BBCNews
,Follow the latest business news with #BBCBizLive &amp; @BBCBusiness https://t.co/Qf6miJk8tj,2018-03-02 08:15:50,0.0,0.0,1.0,0.0,@BBCNews
,"Sport’s gender pay gap. 

Every organisation with 250 employees or more must publish data by April.

The FA, LTA and Jockey Club Racecourses have all published their figures - with more organisations still to come.

https://t.co/2JWKmDLBAa",2018-03-02 07:20:19,-0.1027,0.0,0.96,0.04,@BBCNews
,"Snow and freezing weather is causing disruption to sporting fixtures scheduled for the coming days.

Here's the postponed list to date
? https://t.co/DB1WFdJVTP
#BeastFromTheEast #snowmageddon #stormemma https://t.co/cvvxN7HRTx",2018-03-02 07:17:44,-0.5719,0.0,0.801,0.199,@BBCNews
,UK gas supply warning ceases as cold snap continues https://t.co/YNteZy8xDJ,2018-03-02 07:03:22,-0.34,0.0,0.789,0.211,@BBCNews
,Storm Emma: Army called in to rescue drivers stuck in snow https://t.co/V4sZGE3yYP,2018-03-02 04:44:52,0.3182,0.216,0.654,0.131,@BBCNews
,UK gaming sales defy spending squeeze https://t.co/grQswnGmam,2018-03-02 00:55:38,0.0,0.0,1.0,0.0,@BBCNews
,Public at risk from 'daily cocktail of pollution' https://t.co/iD9quBZVqA,2018-03-02 00:55:38,-0.2732,0.0,0.792,0.208,@BBCNews
,"Diabetes is actually five separate diseases, research suggests https://t.co/qSCy9OW2Sa",2018-03-02 00:55:38,0.0,0.0,1.0,0.0,@BBCNews
,Far-right 'moving increasingly online' https://t.co/FKp9wPZcdD,2018-03-02 00:55:37,0.0,0.0,1.0,0.0,@BBCNews
,"Learners let down by Learndirect, say MPs https://t.co/WfXiQKJVdF",2018-03-02 00:55:37,0.0,0.0,1.0,0.0,@BBCNews
,Only one convicted over 2017 'double voting' claims https://t.co/RA9B9n8alc,2018-03-02 00:55:37,0.0,0.0,1.0,0.0,@BBCNews
,"Lord Promise Nkenda death: Boy, 14, charged with murder https://t.co/JSa3l2Xyrj",2018-03-01 23:50:28,-0.8442,0.123,0.321,0.556,@BBCNews
,"Friday's Guardian: ""May urges Britain to 'come back together'"" (via @hendopolis) #tomorrowspaperstoday https://t.co/doYsZHssYt",2018-03-01 23:14:23,0.0,0.0,1.0,0.0,@BBCNews
,"Friday's Times: ""Floods to follow freeze as storm batters Britain"" (via @hendopolis) #tomorrowspaperstoday https://t.co/iw1MZFg8xv",2018-03-01 23:14:19,0.0516,0.085,0.915,0.0,@BBCNews
,"Friday's Star: ""Killer cold here until Easter"" (via @hendopolis) #tomorrowspaperstoday https://t.co/mJTuX638hH",2018-03-01 23:14:15,-0.6486,0.0,0.699,0.301,@BBCNews
,"Friday's Sun: ""Emmageddon"" (via @hendopolis) #tomorrowspaperstoday https://t.co/1Jnex69haV",2018-03-01 23:14:15,0.0,0.0,1.0,0.0,@BBCNews
,"Friday's Mirror: ""Brave Ali’s miracle baby"" (via @hendopolis) #tomorrowspaperstoday https://t.co/B0r4iNAIjO",2018-03-01 23:14:08,0.802,0.474,0.526,0.0,@BBCNews
,Danson Park frozen lake death man identified https://t.co/kO7MxeEBwB,2018-03-01 23:05:53,-0.5994,0.0,0.642,0.358,@BBCNews
